id,name,neighbourhood_group_cleansed,neighbourhood_cleansed,room_type,price_num,availability_365,reviews_per_month,number_of_reviews,ghost_prob
1304556482432499e3,138 Bowery Studio,Manhattan,Little Italy,Entire home/apt,150,354,0.12,1,0.3422826915955705
51246356,Rumble Suite with Qn Bed and Huge Private Patio!,Brooklyn,Bedford-Stuyvesant,Private room,157,365,0.02,1,0.3421621557056056
1499629759900042800,Coziest room near NYC Manhattan!,Queens,Sunnyside,Private room,50,245,1,1,0.34207844674960974
40721922,"Blueground | Tribeca, gym, doorman, garage",Manhattan,Tribeca,Entire home/apt,321,315,0.04,1,0.34205482131035836
36839873,Gray 2 Bedrooms Near Times Square and Central Park,Manhattan,Hell's Kitchen,Entire home/apt,320,365,0.03,1,0.3417461521148849
736089644757189600,NYC/Ridgewood Private Bedroom,Queens,Ridgewood,Private room,52,363,0.06,1,0.3416579885812243
52384047,Luxury Condo Architect-Renovated Historic Building,Brooklyn,Greenpoint,Entire home/apt,604,212,0.02,1,0.34146127516339225
43414885,Manhattan 30min to Midtown New Beautiful Apt,Manhattan,Inwood,Private room,38,59,0.02,1,0.3414587380065847
792154227101270300,LAST ROOM!  Private Room | Williamsburg Comfort,Brooklyn,Williamsburg,Private room,74,362,0.04,1,0.3414186066401447
1263836565731458800,Brand New Gorgeous 3bedroom 2blocks to CentralPark,Manhattan,Harlem,Entire home/apt,177,364,0.16,1,0.3414129685903551
23923562,521 West 48th-Best Private roofdeck Apt in Midtown,Manhattan,Hell's Kitchen,Entire home/apt,260,365,0.03,1,0.3413917464385604
1314692063415977500,"Luxury Stay | Gym, Pool, Bowling—Resort Amenities",Brooklyn,Bushwick,Entire home/apt,184,340,0.91,1,0.34126882073777337
1138391892583319200,Award-Winning Designer Loft,Brooklyn,Williamsburg,Entire home/apt,379,91,0.88,1,0.3411577397693601
1476160898751557e3,NEW | Boho Brick Loft Near Subway NYC,Brooklyn,East Flatbush,Entire home/apt,220,247,0.56,1,0.34107923200182433
45466241,Nice and comfortable furnished studio apartment,Manhattan,Upper East Side,Entire home/apt,100,317,0.73,1,0.34085605478449715
1002379682073037800,X-Large room in Prime LES location,Manhattan,Lower East Side,Private room,139,365,0.08,1,0.34052686490537154
1156590041510204400,Private Room Near Williamsburg — Safe & Central,Brooklyn,Williamsburg,Private room,70,365,0.91,1,0.3403297704035134
33961505,Gorgeous flat in vibrant Bushwick,Brooklyn,Bushwick,Entire home/apt,162,364,0.01,1,0.3403162484046241
978981767053187200,444-4C Newly renovated Studio in Hell's Kitchen,Manhattan,Hell's Kitchen,Entire home/apt,220,348,0.32,1,0.340270448461558
858347373190592500,3min from Subway 181 St station,Manhattan,Washington Heights,Private room,52,48,0.04,1,0.34024432262973925
1026930869517663700,AKA Times Square - Studio Platinum with Den,Manhattan,Theater District,Private room,545,297,0.09,1,0.34016760264207746
52231166,"Blueground | Midtown West, gym, nr Times Sq",Manhattan,Theater District,Entire home/apt,257,346,0.29,1,0.34004566516798723
